날짜,전체거래의 이익,전체거래의 이익 누적,매수거래의 이익,매수거래의 이익 누적,매도거래의 이익,매도거래의 이익누적,전체거래의 거래횟수,매수거래의 거래횟수,매도거래의 거래횟수,가격
2014-02-05,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,97.320000
2014-02-06,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,97.910000
2014-02-07,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,100.140000
2014-02-10,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,100.000000
2014-02-12,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,100.310000
2014-02-13,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,100.350000
2014-02-14,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,100.400000
2014-02-17,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,100.920000
2014-02-18,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,102.660000
2014-02-19,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,103.370000
2014-02-20,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,102.920000
2014-02-21,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,102.300000
2014-02-24,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,102.250000
2014-02-25,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,102.020000
2014-02-26,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,102.520000
2014-02-27,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,102.140000
2014-02-28,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,102.760000
2014-03-03,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,104.870000
2014-03-04,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,103.370000
2014-03-05,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,100.890000
2014-03-06,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,101.900000
2014-03-07,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,102.690000
2014-03-10,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,100.940000
2014-03-11,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,99.520000
2014-03-12,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,98.070000
2014-03-13,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,98.240000
2014-03-14,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,99.000000
2014-03-17,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,97.990000
2014-03-18,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,99.560000
2014-03-19,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,100.420000
2014-03-20,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,99.430000
2014-03-24,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,99.410000
2014-03-25,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,99.210000
2014-03-26,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,100.290000
2014-03-27,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,101.320000
2014-03-28,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,101.670000
2014-03-31,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,101.560000
2014-04-01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,99.690000
2014-04-02,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,99.420000
2014-04-03,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,100.430000
2014-04-04,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,101.060000
2014-04-07,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,100.730000
2014-04-08,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,102.360000
2014-04-09,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,103.450000
2014-04-10,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,103.400000
2014-04-11,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,103.330000
2014-04-14,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,103.630000
2014-04-15,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,103.840000
2014-04-16,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,103.800000
